epsilon,run,seed,accuracy
1.0,1,42,0.5202269815119898
1.0,2,43,0.5233388248215266
1.0,3,44,0.5198608822991031
1.0,4,45,0.5268167673439502
1.0,5,46,0.5121727988284825
2.0,1,42,0.5469522240527183
2.0,2,43,0.5584843492586491
2.0,3,44,0.5581182500457624
2.0,4,45,0.5399963390078711
2.0,5,46,0.5403624382207578
3.0,1,42,0.771004942339374
3.0,2,43,0.7695405454878272
3.0,3,44,0.7543474281530295
3.0,4,45,0.7680761486362805
3.0,5,46,0.7611202635914333
12.0,1,42,0.8581365550064067
12.0,2,43,0.8638110928061504
12.0,3,44,0.8400146439685154
12.0,4,45,0.8654585392641406
12.0,5,46,0.85722130697419
14.0,1,42,0.8634449935932638
14.0,2,43,0.8652754896576972
14.0,3,44,0.838184147904082
14.0,4,45,0.8641771920190372
14.0,5,46,0.8586857038257367
16.0,1,42,0.8585026542192934
16.0,2,43,0.8654585392641406
16.0,3,44,0.841845140032949
16.0,4,45,0.8634449935932638
16.0,5,46,0.8592348526450668
18.0,1,42,0.8632619439868204
18.0,2,43,0.8645432912319239
18.0,3,44,0.8431264872780524
18.0,4,45,0.8608822991030569
18.0,5,46,0.8596009518579535
