epsilon,run,seed,accuracy
1.0,1,42,0.5172018348623854
1.0,2,43,0.5068807339449541
1.0,3,44,0.4954128440366973
1.0,4,45,0.5034403669724771
1.0,5,46,0.4988532110091743
2.0,1,42,0.569954128440367
2.0,2,43,0.5642201834862385
2.0,3,44,0.5814220183486238
2.0,4,45,0.5447247706422018
2.0,5,46,0.5344036697247706
3.0,1,42,0.8107798165137615
3.0,2,43,0.8188073394495413
3.0,3,44,0.8107798165137615
3.0,4,45,0.8073394495412844
3.0,5,46,0.8119266055045872
12.0,1,42,0.9094036697247706
12.0,2,43,0.9197247706422018
12.0,3,44,0.911697247706422
12.0,4,45,0.911697247706422
12.0,5,46,0.911697247706422
14.0,1,42,0.9094036697247706
14.0,2,43,0.9185779816513762
14.0,3,44,0.9059633027522935
14.0,4,45,0.911697247706422
14.0,5,46,0.9162844036697247
16.0,1,42,0.9151376146788991
16.0,2,43,0.9174311926605505
16.0,3,44,0.9139908256880734
16.0,4,45,0.9151376146788991
16.0,5,46,0.9128440366972477
18.0,1,42,0.9105504587155964
18.0,2,43,0.9139908256880734
18.0,3,44,0.908256880733945
18.0,4,45,0.9128440366972477
18.0,5,46,0.9139908256880734
