epsilon,run,seed,topk,attack_success_rate,defense_rate
2.0,1,42,10,0.001447,0.998553
2.0,2,43,10,0.001466,0.998534
2.0,3,44,10,0.001569,0.998431
2.0,4,45,10,0.001344,0.998656
2.0,5,46,10,0.001455,0.998545
4.0,1,42,10,0.002898,0.997102
4.0,2,43,10,0.002746,0.997254
4.0,3,44,10,0.003088,0.996912
4.0,4,45,10,0.002848,0.997152
4.0,5,46,10,0.002913,0.997087
6.0,1,42,10,0.006866,0.993134
6.0,2,43,10,0.006592,0.993408
6.0,3,44,10,0.006626,0.993374
6.0,4,45,10,0.006729,0.993271
6.0,5,46,10,0.00655,0.99345
8.0,1,42,10,0.018979,0.981021
8.0,2,43,10,0.017855,0.982145
8.0,3,44,10,0.019044,0.980956
8.0,4,45,10,0.018571,0.981429
8.0,5,46,10,0.018724,0.981276
10.0,1,42,10,0.062751,0.937249
10.0,2,43,10,0.060737,0.939263
10.0,3,44,10,0.063265,0.936735
10.0,4,45,10,0.06336,0.93664
10.0,5,46,10,0.063037,0.936963
12.0,1,42,10,0.204231,0.795769
12.0,2,43,10,0.199449,0.800551
12.0,3,44,10,0.205488,0.794512
12.0,4,45,10,0.203546,0.796454
12.0,5,46,10,0.203622,0.796378
14.0,1,42,10,0.49223,0.50777
14.0,2,43,10,0.489416,0.510584
14.0,3,44,10,0.490859,0.509141
14.0,4,45,10,0.489747,0.510253
14.0,5,46,10,0.493578,0.506422
16.0,1,42,10,0.779326,0.220674
16.0,2,43,10,0.777003,0.222997
16.0,3,44,10,0.77564,0.22436
16.0,4,45,10,0.776797,0.223203
16.0,5,46,10,0.780263,0.219737
18.0,1,42,10,0.92605,0.07395
18.0,2,43,10,0.924888,0.075112
18.0,3,44,10,0.923986,0.076014
18.0,4,45,10,0.926465,0.073535
18.0,5,46,10,0.925718,0.074282
20.0,1,42,10,0.977076,0.022924
20.0,2,43,10,0.976002,0.023998
20.0,3,44,10,0.97711,0.02289
20.0,4,45,10,0.976981,0.023019
20.0,5,46,10,0.976642,0.023358
22.0,1,42,10,0.992495,0.007505
22.0,2,43,10,0.991893,0.008107
22.0,3,44,10,0.992552,0.007448
22.0,4,45,10,0.992681,0.007319
22.0,5,46,10,0.992472,0.007528
24.0,1,42,10,0.997426,0.002574
24.0,2,43,10,0.997266,0.002734
24.0,3,44,10,0.997567,0.002433
24.0,4,45,10,0.997437,0.002563
24.0,5,46,10,0.997498,0.002502
