epsilon,run,seed,topk,attack_success_rate,defense_rate
0.0,1,42,10,0.000853,0.999147
0.0,2,43,10,0.000861,0.999139
0.0,3,44,10,0.000906,0.999094
0.0,4,45,10,0.000845,0.999155
0.0,5,46,10,0.000826,0.999174
2.0,1,42,10,0.000853,0.999147
2.0,2,43,10,0.000861,0.999139
2.0,3,44,10,0.000906,0.999094
2.0,4,45,10,0.000845,0.999155
2.0,5,46,10,0.000826,0.999174
4.0,1,42,10,0.000853,0.999147
4.0,2,43,10,0.000861,0.999139
4.0,3,44,10,0.000906,0.999094
4.0,4,45,10,0.000845,0.999155
4.0,5,46,10,0.000826,0.999174
6.0,1,42,10,0.001024,0.998976
6.0,2,43,10,0.001013,0.998987
6.0,3,44,10,0.001066,0.998934
6.0,4,45,10,0.00099,0.99901
6.0,5,46,10,0.000975,0.999025
8.0,1,42,10,0.051015,0.948985
8.0,2,43,10,0.048277,0.951723
8.0,3,44,10,0.049336,0.950664
8.0,4,45,10,0.049442,0.950558
8.0,5,46,10,0.049515,0.950485
10.0,1,42,10,0.877552,0.122448
10.0,2,43,10,0.876954,0.123046
10.0,3,44,10,0.875404,0.124596
10.0,4,45,10,0.878409,0.121591
10.0,5,46,10,0.876988,0.123012
12.0,1,42,10,0.925905,0.074095
12.0,2,43,10,0.924744,0.075256
12.0,3,44,10,0.923792,0.076208
12.0,4,45,10,0.926305,0.073695
12.0,5,46,10,0.925574,0.074426
14.0,1,42,10,0.92605,0.07395
14.0,2,43,10,0.924888,0.075112
14.0,3,44,10,0.923986,0.076014
14.0,4,45,10,0.926465,0.073535
14.0,5,46,10,0.925718,0.074282
16.0,1,42,10,0.92605,0.07395
16.0,2,43,10,0.924888,0.075112
16.0,3,44,10,0.923986,0.076014
16.0,4,45,10,0.926465,0.073535
16.0,5,46,10,0.925718,0.074282
18.0,1,42,10,0.92605,0.07395
18.0,2,43,10,0.924888,0.075112
18.0,3,44,10,0.923986,0.076014
18.0,4,45,10,0.926465,0.073535
18.0,5,46,10,0.925718,0.074282
7.0,1,42,10,0.003663,0.996337
7.0,2,43,10,0.003659,0.996341
7.0,3,44,10,0.003675,0.996325
7.0,4,45,10,0.00377,0.99623
7.0,5,46,10,0.003758,0.996242
9.0,1,42,10,0.460765,0.539235
9.0,2,43,10,0.462376,0.537624
9.0,3,44,10,0.462993,0.537007
9.0,4,45,10,0.464436,0.535564
9.0,5,46,10,0.461827,0.538173
11.0,1,42,10,0.923262,0.076738
11.0,2,43,10,0.922128,0.077872
11.0,3,44,10,0.921157,0.078843
11.0,4,45,10,0.923658,0.076342
11.0,5,46,10,0.922771,0.077229
13.0,1,42,10,0.926046,0.073954
13.0,2,43,10,0.924873,0.075127
13.0,3,44,10,0.923971,0.076029
13.0,4,45,10,0.926461,0.073539
13.0,5,46,10,0.925703,0.074297
15.0,1,42,10,0.92605,0.07395
15.0,2,43,10,0.924888,0.075112
15.0,3,44,10,0.923986,0.076014
15.0,4,45,10,0.926465,0.073535
15.0,5,46,10,0.925718,0.074282
8.5,1,42,10,0.178124,0.821876
8.5,2,43,10,0.176232,0.823768
8.5,3,44,10,0.17734,0.82266
8.5,4,45,10,0.176841,0.823159
8.5,5,46,10,0.177138,0.822862
9.5,1,42,10,0.749578,0.250422
9.5,2,43,10,0.748074,0.251926
9.5,3,44,10,0.748322,0.251678
9.5,4,45,10,0.749757,0.250243
9.5,5,46,10,0.750458,0.249542
