epsilon,run,seed,topk,attack_success_rate,defense_rate
2.0,1,42,10,0.001634,0.998366
2.0,2,43,10,0.001188,0.998812
2.0,3,44,10,0.001733,0.998267
2.0,4,45,10,0.001634,0.998366
2.0,5,46,10,0.00104,0.99896
4.0,1,42,10,0.00302,0.99698
4.0,2,43,10,0.002228,0.997772
4.0,3,44,10,0.002426,0.997574
4.0,4,45,10,0.002772,0.997228
4.0,5,46,10,0.002475,0.997525
6.0,1,42,10,0.006634,0.993366
6.0,2,43,10,0.006337,0.993663
6.0,3,44,10,0.006238,0.993762
6.0,4,45,10,0.00708,0.99292
6.0,5,46,10,0.006584,0.993416
8.0,1,42,10,0.019605,0.980395
8.0,2,43,10,0.015842,0.984158
8.0,3,44,10,0.018961,0.981039
8.0,4,45,10,0.020496,0.979504
8.0,5,46,10,0.017526,0.982474
10.0,1,42,10,0.067479,0.932521
10.0,2,43,10,0.063766,0.936234
10.0,3,44,10,0.067479,0.932521
10.0,4,45,10,0.069211,0.930789
10.0,5,46,10,0.060845,0.939155
12.0,1,42,10,0.213129,0.786871
12.0,2,43,10,0.203574,0.796426
12.0,3,44,10,0.21006,0.78994
12.0,4,45,10,0.211347,0.788653
12.0,5,46,10,0.215209,0.784791
14.0,1,42,10,0.497351,0.502649
14.0,2,43,10,0.490371,0.509629
14.0,3,44,10,0.50958,0.49042
14.0,4,45,10,0.511808,0.488192
14.0,5,46,10,0.50146,0.49854
16.0,1,42,10,0.785781,0.214219
16.0,2,43,10,0.781771,0.218229
16.0,3,44,10,0.793109,0.206891
16.0,4,45,10,0.792267,0.207733
16.0,5,46,10,0.786871,0.213129
18.0,1,42,10,0.931729,0.068271
18.0,2,43,10,0.932323,0.067677
18.0,3,44,10,0.929303,0.070697
18.0,4,45,10,0.936234,0.063766
18.0,5,46,10,0.92861,0.07139
20.0,1,42,10,0.981781,0.018219
20.0,2,43,10,0.981286,0.018714
20.0,3,44,10,0.981385,0.018615
20.0,4,45,10,0.983366,0.016634
20.0,5,46,10,0.979801,0.020199
22.0,1,42,10,0.996089,0.003911
22.0,2,43,10,0.994356,0.005644
22.0,3,44,10,0.995099,0.004901
22.0,4,45,10,0.994802,0.005198
22.0,5,46,10,0.993465,0.006535
24.0,1,42,10,0.999208,0.000792
24.0,2,43,10,0.998366,0.001634
24.0,3,44,10,0.998911,0.001089
24.0,4,45,10,0.99896,0.00104
24.0,5,46,10,0.998614,0.001386
