epsilon,run,seed,topk,attack_success_rate,defense_rate
2.0,1,42,1,0.0,1.0
2.0,2,43,1,0.0,1.0
2.0,3,44,1,0.0,1.0
2.0,4,45,1,0.0,1.0
2.0,5,46,1,5e-05,0.99995
4.0,1,42,1,0.0,1.0
4.0,2,43,1,0.0,1.0
4.0,3,44,1,0.0,1.0
4.0,4,45,1,0.0,1.0
4.0,5,46,1,5e-05,0.99995
6.0,1,42,1,0.0,1.0
6.0,2,43,1,0.0,1.0
6.0,3,44,1,0.0,1.0
6.0,4,45,1,0.0,1.0
6.0,5,46,1,5e-05,0.99995
8.0,1,42,1,9.9e-05,0.999901
8.0,2,43,1,0.000149,0.999851
8.0,3,44,1,0.000149,0.999851
8.0,4,45,1,0.000149,0.999851
8.0,5,46,1,0.000297,0.999703
10.0,1,42,1,0.053418,0.946582
10.0,2,43,1,0.053022,0.946978
10.0,3,44,1,0.05124,0.94876
10.0,4,45,1,0.052874,0.947126
10.0,5,46,1,0.05223,0.94777
10.5,1,42,1,0.197782,0.802218
10.5,2,43,1,0.185999,0.814001
10.5,3,44,1,0.187584,0.812416
10.5,4,45,1,0.188772,0.811228
10.5,5,46,1,0.192089,0.807911
11.0,1,42,1,0.491856,0.508144
11.0,2,43,1,0.49646,0.50354
11.0,3,44,1,0.499728,0.500272
11.0,4,45,1,0.498391,0.501609
11.0,5,46,1,0.495817,0.504183
11.5,1,42,1,0.801277,0.198723
11.5,2,43,1,0.804446,0.195554
11.5,3,44,1,0.801921,0.198079
11.5,4,45,1,0.80306,0.19694
11.5,5,46,1,0.80098,0.19902
12.0,1,42,1,0.944849,0.055151
12.0,2,43,1,0.942274,0.057726
12.0,3,44,1,0.941928,0.058072
12.0,4,45,1,0.941581,0.058419
12.0,5,46,1,0.940344,0.059656
12.5,1,42,1,0.981732,0.018268
12.5,2,43,1,0.980148,0.019852
12.5,3,44,1,0.97995,0.02005
12.5,4,45,1,0.982326,0.017674
12.5,5,46,1,0.981039,0.018961
13.0,1,42,1,0.991732,0.008268
13.0,2,43,1,0.991188,0.008812
13.0,3,44,1,0.99094,0.00906
13.0,4,45,1,0.992178,0.007822
13.0,5,46,1,0.989653,0.010347
13.5,1,42,1,0.993911,0.006089
13.5,2,43,1,0.992722,0.007278
13.5,3,44,1,0.993515,0.006485
13.5,4,45,1,0.993713,0.006287
13.5,5,46,1,0.991881,0.008119
14.0,1,42,1,0.994406,0.005594
14.0,2,43,1,0.993515,0.006485
14.0,3,44,1,0.994158,0.005842
14.0,4,45,1,0.994208,0.005792
14.0,5,46,1,0.992574,0.007426
16.0,1,42,1,0.994554,0.005446
16.0,2,43,1,0.993614,0.006386
16.0,3,44,1,0.994307,0.005693
16.0,4,45,1,0.994505,0.005495
16.0,5,46,1,0.992623,0.007377
18.0,1,42,1,0.994554,0.005446
18.0,2,43,1,0.993614,0.006386
18.0,3,44,1,0.994307,0.005693
18.0,4,45,1,0.994505,0.005495
18.0,5,46,1,0.992623,0.007377
20.0,1,42,1,0.994554,0.005446
20.0,2,43,1,0.993614,0.006386
20.0,3,44,1,0.994307,0.005693
20.0,4,45,1,0.994505,0.005495
20.0,5,46,1,0.992623,0.007377
22.0,1,42,1,0.994554,0.005446
22.0,2,43,1,0.993614,0.006386
22.0,3,44,1,0.994307,0.005693
22.0,4,45,1,0.994505,0.005495
22.0,5,46,1,0.992623,0.007377
0.0,1,42,1,0.0,1.0
0.0,2,43,1,0.0,1.0
0.0,3,44,1,0.0,1.0
0.0,4,45,1,0.0,1.0
0.0,5,46,1,5e-05,0.99995
