epsilon,run,seed,topk,attack_success_rate,defense_rate
2.0,1,42,500,0.01911,0.98089
2.0,2,43,500,0.017328,0.982672
2.0,3,44,500,0.018565,0.981435
2.0,4,45,500,0.019803,0.980197
2.0,5,46,500,0.020199,0.979801
4.0,1,42,500,0.026932,0.973068
4.0,2,43,500,0.022823,0.977177
4.0,3,44,500,0.025991,0.974009
4.0,4,45,500,0.027774,0.972226
4.0,5,46,500,0.024506,0.975494
6.0,1,42,500,0.037378,0.962622
6.0,2,43,500,0.034655,0.965345
6.0,3,44,500,0.037675,0.962325
6.0,4,45,500,0.038368,0.961632
6.0,5,46,500,0.034259,0.965741
8.0,1,42,500,0.055943,0.944057
8.0,2,43,500,0.053914,0.946086
8.0,3,44,500,0.057577,0.942423
8.0,4,45,500,0.058468,0.941532
8.0,5,46,500,0.056884,0.943116
10.0,1,42,500,0.113867,0.886133
10.0,2,43,500,0.103916,0.896084
10.0,3,44,500,0.108916,0.891084
10.0,4,45,500,0.114857,0.885143
10.0,5,46,500,0.110798,0.889202
12.0,1,42,500,0.26135,0.73865
12.0,2,43,500,0.250854,0.749146
12.0,3,44,500,0.261746,0.738254
12.0,4,45,500,0.263973,0.736027
12.0,5,46,500,0.259072,0.740928
14.0,1,42,500,0.542898,0.457102
14.0,2,43,500,0.532848,0.467152
14.0,3,44,500,0.546463,0.453537
14.0,4,45,500,0.55681,0.44319
14.0,5,46,500,0.545275,0.454725
16.0,1,42,500,0.807614,0.192386
16.0,2,43,500,0.805089,0.194911
16.0,3,44,500,0.809793,0.190207
16.0,4,45,500,0.812169,0.187831
16.0,5,46,500,0.807169,0.192831
18.0,1,42,500,0.940938,0.059062
18.0,2,43,500,0.940096,0.059904
18.0,3,44,500,0.9397,0.0603
18.0,4,45,500,0.942918,0.057082
18.0,5,46,500,0.939205,0.060795
20.0,1,42,500,0.984405,0.015595
20.0,2,43,500,0.984009,0.015991
20.0,3,44,500,0.984059,0.015941
20.0,4,45,500,0.985544,0.014456
20.0,5,46,500,0.982276,0.017724
22.0,1,42,500,0.996089,0.003911
22.0,2,43,500,0.995247,0.004753
22.0,3,44,500,0.995742,0.004258
22.0,4,45,500,0.996089,0.003911
22.0,5,46,500,0.994455,0.005545
24.0,1,42,500,0.999257,0.000743
24.0,2,43,500,0.99901,0.00099
24.0,3,44,500,0.999208,0.000792
24.0,4,45,500,0.999406,0.000594
24.0,5,46,500,0.998861,0.001139
2.0,1,42,10,0.001287,0.998713
2.0,2,43,10,0.001188,0.998812
2.0,3,44,10,0.001436,0.998564
2.0,4,45,10,0.001733,0.998267
2.0,5,46,10,0.001188,0.998812
4.0,1,42,10,0.003069,0.996931
4.0,2,43,10,0.002277,0.997723
4.0,3,44,10,0.00297,0.99703
4.0,4,45,10,0.002871,0.997129
4.0,5,46,10,0.002822,0.997178
6.0,1,42,10,0.006882,0.993118
6.0,2,43,10,0.006485,0.993515
6.0,3,44,10,0.007278,0.992722
6.0,4,45,10,0.007278,0.992722
6.0,5,46,10,0.006931,0.993069
8.0,1,42,10,0.019506,0.980494
8.0,2,43,10,0.017229,0.982771
8.0,3,44,10,0.019704,0.980296
8.0,4,45,10,0.020793,0.979207
8.0,5,46,10,0.019011,0.980989
10.0,1,42,10,0.06832,0.93168
10.0,2,43,10,0.062231,0.937769
10.0,3,44,10,0.064805,0.935195
10.0,4,45,10,0.070697,0.929303
10.0,5,46,10,0.065548,0.934452
12.0,1,42,10,0.213822,0.786178
12.0,2,43,10,0.203376,0.796624
12.0,3,44,10,0.211347,0.788653
12.0,4,45,10,0.215159,0.784841
12.0,5,46,10,0.209515,0.790485
14.0,1,42,10,0.501609,0.498391
14.0,2,43,10,0.49349,0.50651
14.0,3,44,10,0.509481,0.490519
14.0,4,45,10,0.516115,0.483885
14.0,5,46,10,0.502847,0.497153
16.0,1,42,10,0.788405,0.211595
16.0,2,43,10,0.785138,0.214862
16.0,3,44,10,0.790732,0.209268
16.0,4,45,10,0.79192,0.20808
16.0,5,46,10,0.786673,0.213327
18.0,1,42,10,0.933215,0.066785
18.0,2,43,10,0.932224,0.067776
18.0,3,44,10,0.932571,0.067429
18.0,4,45,10,0.935937,0.064063
18.0,5,46,10,0.932026,0.067974
20.0,1,42,10,0.981237,0.018763
20.0,2,43,10,0.981831,0.018169
20.0,3,44,10,0.980791,0.019209
20.0,4,45,10,0.982821,0.017179
20.0,5,46,10,0.98089,0.01911
22.0,1,42,10,0.995297,0.004703
22.0,2,43,10,0.994158,0.005842
22.0,3,44,10,0.994901,0.005099
22.0,4,45,10,0.995247,0.004753
22.0,5,46,10,0.993317,0.006683
24.0,1,42,10,0.999257,0.000743
24.0,2,43,10,0.998317,0.001683
24.0,3,44,10,0.998812,0.001188
24.0,4,45,10,0.999208,0.000792
24.0,5,46,10,0.998614,0.001386
