epsilon,run,seed,defense_rate,attack_success_rate
0.0,1,42,0.9735,0.026544108724669335
0.0,2,43,0.9728,0.027242441337460167
0.0,3,44,0.9730,0.026969998209871605
0.0,4,45,0.9730,0.026952391472440076
0.0,5,46,0.9729,0.027072507369252742
2.0,1,42,0.9721,0.02790842808651841
2.0,2,43,0.9724,0.02761019910249725
2.0,3,44,0.9716,0.028369334898397842
2.0,4,45,0.9723,0.027746343099040196
2.0,5,46,0.9723,0.02766015779693545
4.0,1,42,0.9707,0.029269258898098487
4.0,2,43,0.9713,0.028732151902590996
4.0,3,44,0.9714,0.02860431084418158
4.0,4,45,0.9709,0.029104159043785827
4.0,5,46,0.9714,0.02864130000038092
6.0,1,42,0.9702,0.029767438316289987
6.0,2,43,0.9700,0.029967456500697362
6.0,3,44,0.9702,0.029807736289203652
6.0,4,45,0.9700,0.030038796618825126
6.0,5,46,0.9704,0.02958289039013294
8.0,1,42,0.9678,0.0322254869455528
8.0,2,43,0.9680,0.03202589489718203
8.0,3,44,0.9677,0.032283389546294707
8.0,4,45,0.9678,0.03218631576942852
8.0,5,46,0.9683,0.03170944501803968
10.0,1,42,0.9611,0.038943124747555576
10.0,2,43,0.9614,0.03862086837883055
10.0,3,44,0.9615,0.0385090232898427
10.0,4,45,0.9618,0.03822328218100913
10.0,5,46,0.9613,0.03873862198301493
12.0,1,42,0.9321,0.06791372719407571
12.0,2,43,0.9335,0.06647277661731746
12.0,3,44,0.9321,0.06787549361916233
12.0,4,45,0.9323,0.06768636327263167
12.0,5,46,0.9330,0.06697258895630698
14.0,1,42,0.8138,0.1862034796196429
14.0,2,43,0.8157,0.1842819461173708
14.0,3,44,0.8136,0.18637077469620503
14.0,4,45,0.8162,0.18375973897266226
14.0,5,46,0.8132,0.18676338298748227
16.0,1,42,0.5803,0.4196715812584811
16.0,2,43,0.5812,0.4187758244774117
16.0,3,44,0.5849,0.4151356213883849
16.0,4,45,0.5820,0.4180363486666565
16.0,5,46,0.5790,0.42100568710262704
18.0,1,42,0.4263,0.5736540777898059
18.0,2,43,0.4275,0.572487688108924
18.0,3,44,0.4276,0.5724343238751581
18.0,4,45,0.4255,0.5744697882202265
18.0,5,46,0.4261,0.5739285224206017
20.0,1,42,0.3708,0.6292443624498757
20.0,2,43,0.3729,0.6271250400231754
20.0,3,44,0.3718,0.6282266302773415
20.0,4,45,0.3712,0.6287869547318828
20.0,5,46,0.3710,0.6289851647430131
22.0,1,42,0.3551,0.6449029533291658
22.0,2,43,0.3556,0.6444264869562566
22.0,3,44,0.3552,0.644834342171467
22.0,4,45,0.3551,0.6448838946742494
22.0,5,46,0.3553,0.6447161785109854
24.0,1,42,0.3505,0.6495151478189275
24.0,2,43,0.3505,0.6494770305090948
24.0,3,44,0.3501,0.6498772622623386
24.0,4,45,0.3503,0.6496523701343254
24.0,5,46,0.3503,0.6496828639821915
12.5,1,42,0.9167,0.0832910919616893
12.5,2,43,0.9179,0.08207205936722226
12.5,3,44,0.9158,0.08416105745409085
12.5,4,45,0.9165,0.08351502584353607
12.5,5,46,0.9155,0.08449845243722079
13.5,1,42,0.8581,0.14192980316221201
13.5,2,43,0.8590,0.1409653521942594
13.5,3,44,0.8573,0.1427150197447665
13.5,4,45,0.8590,0.1409730586854102
13.5,5,46,0.8576,0.14240626953512128
15,1,42,0.6993,0.30068839861557933
15,2,43,0.6997,0.30034534282708464
15,3,44,0.7021,0.29787152941893974
15,4,45,0.7031,0.29694146705902086
15,5,46,0.6977,0.30230076082150426
15.5,1,42,0.6388,0.3611691341271898
15.5,2,43,0.6389,0.3610638897994344
15.5,3,44,0.6412,0.3588363547654261
15.5,4,45,0.6418,0.35817625519624763
15.5,5,46,0.6353,0.3646530562459024
