epsilon,run,seed,defense_rate,attack_success_rate
0.00,1,42,0.9735,0.026544108724669335
0.00,2,43,0.9728,0.027242441337460167
0.00,3,44,0.9730,0.026969998209871605
0.00,4,45,0.9730,0.026952391472440076
0.00,5,46,0.9729,0.027072507369252742
2.00,1,42,0.9735,0.026544108724669335
2.00,2,43,0.9728,0.027242441337460167
2.00,3,44,0.9730,0.026969998209871605
2.00,4,45,0.9730,0.026952391472440076
2.00,5,46,0.9729,0.027072507369252742
4.00,1,42,0.9735,0.026544108724669335
4.00,2,43,0.9728,0.027242441337460167
4.00,3,44,0.9730,0.026969998209871605
4.00,4,45,0.9730,0.026952391472440076
4.00,5,46,0.9729,0.027072507369252742
6.00,1,42,0.9732,0.026828509889576507
6.00,2,43,0.9725,0.02751307423727263
6.00,3,44,0.9726,0.02738515564595069
6.00,4,45,0.9728,0.027215211570178678
6.00,5,46,0.9726,0.027353602576959308
8.00,1,42,0.8733,0.1267206108263495
8.00,2,43,0.8734,0.12657233903060058
8.00,3,44,0.8732,0.1267962548728951
8.00,4,45,0.8726,0.12737011737724155
8.00,5,46,0.8727,0.12727431770468858
10.00,1,42,0.5825,0.4175027063289981
10.00,2,43,0.5837,0.41632488145516644
10.00,3,44,0.5871,0.41287145318432006
10.00,4,45,0.5841,0.41592083797093937
10.00,5,46,0.5813,0.4186652842788967
12.00,1,42,0.5803,0.41966395779651455
12.00,2,43,0.5812,0.4187720127464284
12.00,3,44,0.5849,0.41512799792641836
12.00,4,45,0.5820,0.41801729001174015
12.00,5,46,0.5790,0.42100568710262704
14.00,1,42,0.5803,0.4196715812584811
14.00,2,43,0.5812,0.4187758244774117
14.00,3,44,0.5849,0.4151356213883849
14.00,4,45,0.5820,0.4180363486666565
14.00,5,46,0.5790,0.42100568710262704
16.00,1,42,0.5803,0.4196715812584811
16.00,2,43,0.5812,0.4187758244774117
16.00,3,44,0.5849,0.4151356213883849
16.00,4,45,0.5820,0.4180363486666565
16.00,5,46,0.5790,0.42100568710262704
7.00,1,42,0.9677,0.03234296896925749
7.00,2,43,0.9675,0.03251406528732828
7.00,3,44,0.9671,0.03293455366766838
7.00,4,45,0.9676,0.03238781581262831
7.00,5,46,0.9672,0.03284076617055312
9.00,1,42,0.6224,0.37755689069899456
9.00,2,43,0.6227,0.37725845060758995
9.00,3,44,0.6257,0.37428681411240994
9.00,4,45,0.6236,0.3763665055575038
9.00,5,46,0.6216,0.3784215380628244
11.00,1,42,0.5805,0.4195076768262003
11.00,2,43,0.5814,0.4186424138929971
11.00,3,44,0.5850,0.414998399072987
11.00,4,45,0.5821,0.4179143732751917
11.00,5,46,0.5791,0.42087227651821246
13.00,1,42,0.5803,0.4196715812584811
13.00,2,43,0.5812,0.4187758244774117
13.00,3,44,0.5849,0.4151356213883849
13.00,4,45,0.5820,0.4180363486666565
13.00,5,46,0.5790,0.42100568710262704
7.50,1,42,0.9487,0.05130657194684153
7.50,2,43,0.9487,0.05127921691798679
7.50,3,44,0.9491,0.05092804242479656
7.50,4,45,0.9489,0.05106327869976422
7.50,5,46,0.9480,0.05198038619431352
8.50,1,42,0.7195,0.2805204599732609
8.50,2,43,0.7204,0.2796209614710232
8.50,3,44,0.7215,0.2785308064098068
8.50,4,45,0.7205,0.27952326883949186
8.50,5,46,0.7193,0.28072085930449947
