epsilon,run,seed,defense_rate,attack_success_rate
2.00,1,42,0.9550,0.04495272043170454
2.00,2,43,0.9576,0.042427842962522895
2.00,3,44,0.9568,0.04317045398287044
2.00,4,45,0.9585,0.041487202336749344
2.00,5,46,0.9574,0.042627122791562666
4.00,1,42,0.9550,0.04495272043170454
4.00,2,43,0.9576,0.042427842962522895
4.00,3,44,0.9568,0.04317045398287044
4.00,4,45,0.9585,0.041487202336749344
4.00,5,46,0.9574,0.042627122791562666
6.00,1,42,0.9546,0.04539828704391306
6.00,2,43,0.9570,0.042972424377444425
6.00,3,44,0.9565,0.04351700579236596
6.00,4,45,0.9581,0.041883261547601365
6.00,5,46,0.9575,0.042480301473107225
8.00,1,42,0.8672,0.1327788504381405
8.00,2,43,0.8646,0.13540274271003516
8.00,3,44,0.8649,0.13510569830189614
8.00,4,45,0.8656,0.1344125946829051
8.00,5,46,0.8713,0.128665056916178
10.00,1,42,0.6098,0.3901678300905985
10.00,2,43,0.6095,0.39046487449873757
10.00,3,44,0.6043,0.39571265904252684
10.00,4,45,0.6028,0.39724738848457847
10.00,5,46,0.6080,0.39204911134214565
12.00,1,42,0.6077,0.3922966483489282
12.00,2,43,0.6081,0.3918510817367196
12.00,3,44,0.6021,0.39789098470221296
12.00,4,45,0.6006,0.3993762067429081
12.00,5,46,0.6060,0.39402940739640574
14.00,1,42,0.6077,0.39234615575028464
14.00,2,43,0.6081,0.3918510817367196
14.00,3,44,0.6021,0.39789098470221296
14.00,4,45,0.6006,0.3993762067429081
14.00,5,46,0.6060,0.39402940739640574
8.5,1,42,0.7343,0.265656715678994
8.5,2,43,0.7341,0.26585474528442005
8.5,3,44,0.7286,0.2713995742363483
8.5,4,45,0.7329,0.2671419377196891
8.5,5,46,0.7318,0.26823482901759244
9.0,1,42,0.6430,0.35704737858309815
9.0,2,43,0.6458,0.3542254567057775
9.0,3,44,0.6448,0.3552156047329076
9.0,4,45,0.6368,0.363235803752661
9.0,5,46,0.6433,0.3567436569563282
9.5,1,42,0.6157,0.3842764493291747
9.5,2,43,0.6174,0.3826427050844101
9.5,3,44,0.6142,0.3857616713698698
9.5,4,45,0.6108,0.3891776820634685
9.5,5,46,0.6162,0.3838308827169662
6.5,1,42,0.9539,0.0460913906629041
6.5,2,43,0.9566,0.04341799098965295
6.5,3,44,0.9555,0.04450715381949601
6.5,4,45,0.9573,0.042724887370661914
6.5,5,46,0.9567,0.04326334850486958
7.0,1,42,0.9500,0.05000247537006783
7.0,2,43,0.9523,0.04767562750631219
7.0,3,44,0.9510,0.04901232734293777
7.0,4,45,0.9531,0.04693301648596465
7.0,5,46,0.9526,0.047423285861107035
7.5,1,42,0.9334,0.06663696222585276
7.5,2,43,0.9345,0.06549829199465321
7.5,3,44,0.9362,0.06381504034853211
7.5,4,45,0.9340,0.06599336600821823
7.5,5,46,0.9373,0.06267163593566104
16,1,42,0.6077,0.39234615575028464
16,2,43,0.6081,0.3918510817367196
16,3,44,0.6021,0.39789098470221296
16,4,45,0.6006,0.3993762067429081
16,5,46,0.6060,0.39402940739640574
0.0,1,42,0.9550,0.04495272043170454
0.0,2,43,0.9576,0.042427842962522895
0.0,3,44,0.9568,0.04317045398287044
0.0,4,45,0.9585,0.041487202336749344
0.0,5,46,0.9574,0.042627122791562666
