epsilon,run,seed,defense_rate,attack_success_rate
12.0,1,42,0.9237,0.07634041289172731
12.0,2,43,0.9214,0.07861775335412644
12.0,3,44,0.9213,0.07866726075548294
12.0,4,45,0.9232,0.07678597950393584
12.0,5,46,0.9223,0.07767711272835288
14.0,1,42,0.8203,0.17966235952274864
14.0,2,43,0.8216,0.17837516708747958
14.0,3,44,0.8111,0.18887073617505817
14.0,4,45,0.8100,0.18995989900490123
14.0,5,46,0.8194,0.1805534927471657
16.0,1,42,0.6230,0.3769988613297688
16.0,2,43,0.6214,0.37858309817317687
16.0,3,44,0.6167,0.38333580870340117
16.0,4,45,0.6169,0.38308827169661863
16.0,5,46,0.6176,0.3824446754789841
18.0,1,42,0.4799,0.5201247586514184
18.0,2,43,0.4828,0.5171543145700283
18.0,3,44,0.4816,0.5184415070052973
18.0,4,45,0.4730,0.5270062874399722
18.0,5,46,0.4843,0.5156690925293331
2.0,1,42,0.9608,0.039160354472993715
2.0,2,43,0.9600,0.039952472894697756
2.0,3,44,0.9596,0.04042500617741537
2.0,4,45,0.9598,0.040200009901480274
2.0,5,46,0.9602,0.039754443289271746
4.0,1,42,0.9592,0.040794098717758305
4.0,2,43,0.9586,0.041388187534036336
4.0,3,44,0.9591,0.040904144821446234
4.0,4,45,0.9575,0.04251952931869871
4.0,5,46,0.9587,0.041289172731323334
6.0,1,42,0.9572,0.042774394772018415
6.0,2,43,0.9588,0.04123966532996683
6.0,3,44,0.9577,0.04232882815980989
6.0,4,45,0.9586,0.041388187534036336
6.0,5,46,0.9574,0.042576365166592404
8.0,1,42,0.9572,0.04282390217337492
8.0,2,43,0.9544,0.04564582405069558
8.0,3,44,0.9572,0.042761692650334075
8.0,4,45,0.9558,0.044210109411356995
8.0,5,46,0.9566,0.04341799098965295
10.0,1,42,0.9491,0.050944702740132554
10.0,2,43,0.9495,0.05054705678498936
10.0,3,44,0.9497,0.05034902717956335
10.0,4,45,0.9502,0.04980444576464181
10.0,5,46,0.9505,0.04945789395514629
20.0,1,42,0.4250,0.57502846675578
20.0,2,43,0.4282,0.5717609782662508
20.0,3,44,0.4297,0.5703252636269123
20.0,4,45,0.4244,0.5755730481707015
20.0,5,46,0.4266,0.5734442299123719
22.0,1,42,0.4114,0.5886430021288183
22.0,2,43,0.4120,0.5880489133125403
22.0,3,44,0.4109,0.5890885687410268
22.0,4,45,0.4112,0.5888410317342443
22.0,5,46,0.4142,0.5858210802514976
24.0,1,42,0.4074,0.592554086835982
24.0,2,43,0.4078,0.5921580276251299
24.0,3,44,0.4075,0.5925045794346254
24.0,4,45,0.4071,0.592851131244121
24.0,5,46,0.4081,0.5919104906183474
0,1,42,0.9584,0.041635724540818854
0,2,43,0.9598,0.040150502500123766
0,3,44,0.9607,0.03925936927570672
0,4,45,0.9609,0.03911084707163721
0,5,46,0.9604,0.03955549028246928
