eps_mldp,eps_prime_mldp,eps_prime_pure,p
16,0.1,0.29,0.0000000000
16,0.2,0.58,0.0000000001
16,0.3,0.87,0.0000000001
16,0.4,1.16,0.0000000002
16,0.5,1.45,0.0000000003
16,0.6,1.74,0.0000000004
16,0.7,2.02,0.0000000006
16,0.8,2.31,0.0000000008
16,0.9,2.60,0.0000000011
16,1.0,2.89,0.0000000015
16,1.1,3.18,0.0000000021
16,1.2,3.47,0.0000000028
16,1.3,3.76,0.0000000037
16,1.4,4.05,0.0000000050
16,1.5,4.34,0.0000000067
16,1.6,4.63,0.0000000090
16,1.7,4.92,0.0000000121
16,1.8,5.21,0.0000000162
16,1.9,5.50,0.0000000216
16,2.0,5.79,0.0000000289
16,2.1,6.07,0.0000000386
16,2.2,6.36,0.0000000516
16,2.3,6.65,0.0000000690
16,2.4,6.94,0.0000000921
16,2.5,7.23,0.0000001231
16,2.6,7.52,0.0000001644
16,2.7,7.81,0.0000002196
16,2.8,8.10,0.0000002933
16,2.9,8.39,0.0000003917
16,3.0,8.68,0.0000005231
16,3.1,8.97,0.0000006986
16,3.2,9.26,0.0000009330
16,3.3,9.55,0.0000012460
16,3.4,9.84,0.0000016639
16,3.5,10.12,0.0000022221
16,3.6,10.41,0.0000029676
16,3.7,10.70,0.0000039631
16,3.8,10.99,0.0000052925
16,3.9,11.28,0.0000070678
16,4.0,11.57,0.0000094388
16,4.1,11.86,0.0000126049
16,4.2,12.15,0.0000168332
16,4.3,12.44,0.0000224798
16,4.4,12.73,0.0000300204
16,4.5,13.02,0.0000400903
16,4.6,13.31,0.0000535378
16,4.7,13.60,0.0000714957
16,4.8,13.88,0.0000954765
16,4.9,14.17,0.0001274998
16,5.0,14.46,0.0001702621
16,5.1,14.75,0.0002273631
16,5.2,15.04,0.0003036085
16,5.3,15.33,0.0004054120
16,5.4,15.62,0.0005413331
16,5.5,15.91,0.0007227908
16,5.6,16.20,0.0009650155
16,5.7,16.49,0.0012883109
16,5.8,16.78,0.0017197288
16,5.9,17.07,0.0022952841
16,6.0,17.36,0.0030628740
16,6.1,17.65,0.0040861102
16,6.2,17.93,0.0054493179
16,6.3,18.22,0.0072640015
16,6.4,18.51,0.0096771151
16,6.5,18.80,0.0128814671
16,6.6,19.09,0.0171285142
16,6.7,19.38,0.0227435592
16,6.8,19.67,0.0301428688
16,6.9,19.96,0.0398512785
16,7.0,20.25,0.0525172521
16,7.1,20.54,0.0689199031
16,7.2,20.83,0.0899591671
16,7.3,21.12,0.1166166800
16,7.4,21.41,0.1498726535
16,7.5,21.70,0.1905664853
16,7.6,21.98,0.2392006713
16,7.7,22.27,0.2957122615
16,7.8,22.56,0.3592701281
16,7.9,22.85,0.4281834005
16,8.0,23.14,0.5000000000
16,8.1,23.43,0.5718165995
16,8.2,23.72,0.6407298719
16,8.3,24.01,0.7042877385
16,8.4,24.30,0.7607993287
16,8.5,24.59,0.8094335147
16,8.6,24.88,0.8501273465
16,8.7,25.17,0.8833833200
16,8.8,25.46,0.9100408329
16,8.9,25.74,0.9310800969
16,9.0,26.03,0.9474827479
16,9.1,26.32,0.9601487215
16,9.2,26.61,0.9698571312
16,9.3,26.90,0.9772564408
16,9.4,27.19,0.9828714858
16,9.5,27.48,0.9871185329
16,9.6,27.77,0.9903228849
16,9.7,28.06,0.9927359985
16,9.8,28.35,0.9945506821
16,9.9,28.64,0.9959138898
16,10.0,28.93,0.9969371260
16,10.1,29.22,0.9977047159
16,10.2,29.51,0.9982802712
16,10.3,29.79,0.9987116891
16,10.4,30.08,0.9990349845
16,10.5,30.37,0.9992772092
16,10.6,30.66,0.9994586669
16,10.7,30.95,0.9995945880
16,10.8,31.24,0.9996963915
16,10.9,31.53,0.9997726369
16,11.0,31.82,0.9998297379
16,11.1,32.11,0.9998725002
16,11.2,32.40,0.9999045235
16,11.3,32.69,0.9999285043
16,11.4,32.98,0.9999464622
16,11.5,33.27,0.9999599097
16,11.6,33.55,0.9999699796
16,11.7,33.84,0.9999775202
16,11.8,34.13,0.9999831668
16,11.9,34.42,0.9999873951
16,12.0,34.71,0.9999905612
16,12.1,35.00,0.9999929322
16,12.2,35.29,0.9999947075
16,12.3,35.58,0.9999960369
16,12.4,35.87,0.9999970324
16,12.5,36.16,0.9999977779
16,12.6,36.45,0.9999983361
16,12.7,36.74,0.9999987540
16,12.8,37.03,0.9999990670
16,12.9,37.32,0.9999993014
16,13.0,37.60,0.9999994769
16,13.1,37.89,0.9999996083
16,13.2,38.18,0.9999997067
16,13.3,38.47,0.9999997804
16,13.4,38.76,0.9999998356
16,13.5,39.05,0.9999998769
16,13.6,39.34,0.9999999079
16,13.7,39.63,0.9999999310
16,13.8,39.92,0.9999999484
16,13.9,40.21,0.9999999614
16,14.0,40.50,0.9999999711
16,14.1,40.79,0.9999999784
16,14.2,41.08,0.9999999838
16,14.3,41.37,0.9999999879
16,14.4,41.65,0.9999999910
16,14.5,41.94,0.9999999933
16,14.6,42.23,0.9999999950
16,14.7,42.52,0.9999999963
16,14.8,42.81,0.9999999972
16,14.9,43.10,0.9999999979
16,15.0,43.39,0.9999999985
16,15.1,43.68,0.9999999989
16,15.2,43.97,0.9999999992
16,15.3,44.26,0.9999999994
16,15.4,44.55,0.9999999996
16,15.5,44.84,0.9999999997
16,15.6,45.13,0.9999999998
16,15.7,45.41,0.9999999999
16,15.8,45.70,0.9999999999
16,15.9,45.99,1.0000000000
18,0.1,0.29,0.0000000000
18,0.2,0.58,0.0000000000
18,0.3,0.87,0.0000000000
18,0.4,1.16,0.0000000000
18,0.5,1.45,0.0000000000
18,0.6,1.74,0.0000000000
18,0.7,2.02,0.0000000000
18,0.8,2.31,0.0000000000
18,0.9,2.60,0.0000000001
18,1.0,2.89,0.0000000001
18,1.1,3.18,0.0000000001
18,1.2,3.47,0.0000000002
18,1.3,3.76,0.0000000002
18,1.4,4.05,0.0000000003
18,1.5,4.34,0.0000000004
18,1.6,4.63,0.0000000005
18,1.7,4.92,0.0000000007
