epsilon,run,seed,accuracy
0.0,1,42,0.5015559216547685
0.0,2,43,0.5136371956800293
0.0,3,44,0.5061321618158521
0.0,4,45,0.527732015376167
0.0,5,46,0.5354200988467874
2.0,1,42,0.5037525169320886
2.0,2,43,0.5253523704924035
2.0,3,44,0.4966135822807981
2.0,4,45,0.4946000366099213
2.0,5,46,0.5088779059125023
4.0,1,42,0.5081457074867289
4.0,2,43,0.5094270547318324
4.0,3,44,0.510342302764049
4.0,4,45,0.5169320885960095
4.0,5,46,0.5046677649643053
6.0,1,42,0.5196778326926597
6.0,2,43,0.5202269815119898
6.0,3,44,0.5121727988284825
6.0,4,45,0.518762584660443
6.0,5,46,0.5022881200805418
8.0,1,42,0.5147354933186894
8.0,2,43,0.5119897492220392
8.0,3,44,0.5178473366282262
8.0,4,45,0.5271828665568369
8.0,5,46,0.510342302764049
10.0,1,42,0.5143693941058026
10.0,2,43,0.5063152114222954
10.0,3,44,0.5204100311184331
10.0,4,45,0.5440234303496247
10.0,5,46,0.5235218744279699
12.0,1,42,0.5674537799743731
12.0,2,43,0.562694490206846
12.0,3,44,0.5665385319421563
12.0,4,45,0.5665385319421563
12.0,5,46,0.5870400878638111
14.0,1,42,0.7105985722130698
14.0,2,43,0.6963207029104888
14.0,3,44,0.7162731100128135
14.0,4,45,0.7067545304777595
14.0,5,46,0.6965037525169321
16.0,1,42,0.832875709317225
16.0,2,43,0.8354384038074318
16.0,3,44,0.8209774848984075
16.0,4,45,0.8372688998718653
16.0,5,46,0.8378180486911954
18.0,1,42,0.8837634999084752
18.0,2,43,0.8865092440051254
18.0,3,44,0.8835804503020318
18.0,4,45,0.8830313014827018
18.0,5,46,0.8850448471535787
20.0,1,42,0.9031667581914699
20.0,2,43,0.9086582463847702
20.0,3,44,0.8973091707852828
20.0,4,45,0.9062786015010068
20.0,5,46,0.9077429983525536
22.0,1,42,0.909024345597657
22.0,2,43,0.9071938495332235
22.0,3,44,0.9013362621270364
22.0,4,45,0.9128683873329673
22.0,5,46,0.9115870400878638
24.0,1,42,0.9137836353651839
24.0,2,43,0.9115870400878638
24.0,3,44,0.9117700896943072
24.0,4,45,0.9154310818231741
24.0,5,46,0.914881933003844
12.5,1,42,0.5925315760571115
12.5,2,43,0.5941790225151016
12.5,3,44,0.5927146256635548
12.5,4,45,0.5956434193666483
12.5,5,46,0.6058941973274757
13.0,1,42,0.6249313563975838
13.0,2,43,0.6302397949844408
13.0,3,44,0.6146805784367564
13.0,4,45,0.6243822075782537
13.0,5,46,0.6119348343401062
13.5,1,42,0.6518396485447556
13.5,2,43,0.6728903532857404
13.5,3,44,0.6507413509060955
13.5,4,45,0.6569650375251693
13.5,5,46,0.6697785099762036
14.0,1,42,0.7093172249679663
14.0,2,43,0.7073036792970895
14.0,3,44,0.6857038257367747
14.0,4,45,0.7032765879553359
14.0,5,46,0.7100494233937397
15.0,1,42,0.7794252242357679
15.0,2,43,0.7867472084935018
15.0,3,44,0.7583745194947831
15.0,4,45,0.7902251510159253
15.0,5,46,0.789492952590152
15.5,1,42,0.8156690463115505
15.5,2,43,0.8195130880468607
15.5,3,44,0.7946183415705657
15.5,4,45,0.8092623100860333
15.5,5,46,0.8134724510342303
