epsilon,run,seed,accuracy
0.00,1,42,0.5015559216547685
0.00,2,43,0.5136371956800293
0.00,3,44,0.5061321618158521
0.00,4,45,0.527732015376167
0.00,5,46,0.5354200988467874
2.00,1,42,0.5015559216547685
2.00,2,43,0.5136371956800293
2.00,3,44,0.5061321618158521
2.00,4,45,0.527732015376167
2.00,5,46,0.5354200988467874
4.00,1,42,0.5015559216547685
4.00,2,43,0.5136371956800293
4.00,3,44,0.5061321618158521
4.00,4,45,0.527732015376167
4.00,5,46,0.5354200988467874
6.00,1,42,0.5015559216547685
6.00,2,43,0.5136371956800293
6.00,3,44,0.5061321618158521
6.00,4,45,0.527732015376167
6.00,5,46,0.5354200988467874
8.00,1,42,0.5059491122094087
8.00,2,43,0.5086948563060589
8.00,3,44,0.5141863444993593
8.00,4,45,0.5132710964671426
8.00,5,46,0.5182134358411129
10.00,1,42,0.5129049972542559
10.00,2,43,0.5176642870217829
10.00,3,44,0.5129049972542559
10.00,4,45,0.514003294892916
10.00,5,46,0.5151015925315761
12.00,1,42,0.7314662273476112
12.00,2,43,0.7228628958447739
12.00,3,44,0.7342119714442614
12.00,4,45,0.7290865824638477
12.00,5,46,0.7316492769540546
14.00,1,42,0.9108548416620904
14.00,2,43,0.9097565440234303
14.00,3,44,0.9064616511074501
14.00,4,45,0.9121361889071938
14.00,5,46,0.9108548416620904
16.00,1,42,0.9132344865458539
16.00,2,43,0.9152480322167308
16.00,3,44,0.9082921471718836
16.00,4,45,0.9141497345780707
16.00,5,46,0.9134175361522973
18.00,1,42,0.9137836353651839
18.00,2,43,0.9115870400878638
18.00,3,44,0.9117700896943072
18.00,4,45,0.9154310818231741
18.00,5,46,0.914881933003844
20.00,1,42,0.9137836353651839
20.00,2,43,0.9115870400878638
20.00,3,44,0.9117700896943072
20.00,4,45,0.9154310818231741
20.00,5,46,0.914881933003844
22.00,1,42,0.9137836353651839
22.00,2,43,0.9115870400878638
22.00,3,44,0.9117700896943072
22.00,4,45,0.9154310818231741
22.00,5,46,0.914881933003844
7,1,42,0.5191286838733297
24.00,1,42,0.9137836353651839
7,2,43,0.5081457074867289
24.00,2,43,0.9115870400878638
7,3,44,0.5101592531576057
24.00,3,44,0.9117700896943072
7,4,45,0.5202269815119898
7,5,46,0.5286472634083836
24.00,4,45,0.9154310818231741
24.00,5,46,0.914881933003844
7.00,1,42,0.5191286838733297
7.00,2,43,0.5081457074867289
7.00,3,44,0.5101592531576057
7.00,4,45,0.5202269815119898
7.00,5,46,0.5286472634083836
11.00,1,42,0.5255354200988468
11.00,2,43,0.5231557752150833
11.00,3,44,0.5189456342668863
11,1,42,0.5255354200988468
11.00,4,45,0.5312099578985905
11,2,43,0.5231557752150833
11.00,5,46,0.547318323265605
11,3,44,0.5189456342668863
13.00,1,42,0.8991396668497162
11,4,45,0.5312099578985905
13.00,2,43,0.8996888156690463
11,5,46,0.547318323265605
13.00,3,44,0.8938312282628592
13,1,42,0.8991396668497162
13.00,4,45,0.8982244188174996
13,2,43,0.8996888156690463
13.00,5,46,0.8969430715723962
13,3,44,0.8938312282628592
15.00,1,42,0.9123192385136372
13,4,45,0.8982244188174996
15.00,2,43,0.9112209408749771
13,5,46,0.8969430715723962
15.00,3,44,0.9101226432363171
15,1,42,0.9123192385136372
15.00,4,45,0.9125022881200805
15.00,5,46,0.9134175361522973
17.00,1,42,0.9145158337909574
17.00,2,43,0.914881933003844
17.00,3,44,0.9070107999267801
11.5,1,42,0.5760571114772103
11.5,2,43,0.5654402343034962
11.5,3,44,0.5841112941607176
11.5,4,45,0.575324913051437
11.5,5,46,0.5788028555738605
12.5,1,42,0.8683873329672341
12.5,2,43,0.8541094636646531
12.5,3,44,0.8605161998901703
12.5,4,45,0.8601501006772836
12.5,5,46,0.861431447922387
