epsilon,run,seed,accuracy
2.0,1,42,0.4713302752293578
2.0,2,43,0.5126146788990825
2.0,3,44,0.5114678899082569
2.0,4,45,0.5080275229357798
2.0,5,46,0.46788990825688076
4.0,1,42,0.5435779816513762
4.0,2,43,0.481651376146789
4.0,3,44,0.481651376146789
4.0,4,45,0.5
4.0,5,46,0.5172018348623854
6.0,1,42,0.5022935779816514
6.0,2,43,0.4805045871559633
6.0,3,44,0.48623853211009177
6.0,4,45,0.5057339449541285
6.0,5,46,0.5057339449541285
8.0,1,42,0.5263761467889908
8.0,2,43,0.5057339449541285
8.0,3,44,0.5160550458715596
8.0,4,45,0.49770642201834864
8.0,5,46,0.5
10.0,1,42,0.5160550458715596
10.0,2,43,0.5217889908256881
10.0,3,44,0.5240825688073395
10.0,4,45,0.5149082568807339
10.0,5,46,0.5217889908256881
12.0,1,42,0.6089449541284404
12.0,2,43,0.6192660550458715
12.0,3,44,0.6077981651376146
12.0,4,45,0.5997706422018348
12.0,5,46,0.6376146788990825
14.0,1,42,0.768348623853211
14.0,2,43,0.7614678899082569
14.0,3,44,0.7488532110091743
14.0,4,45,0.7660550458715596
14.0,5,46,0.7362385321100917
16.0,1,42,0.8623853211009175
16.0,2,43,0.8704128440366973
16.0,3,44,0.8555045871559633
16.0,4,45,0.8589449541284404
16.0,5,46,0.8577981651376146
18.0,1,42,0.9105504587155964
18.0,2,43,0.9013761467889908
18.0,3,44,0.908256880733945
18.0,4,45,0.9013761467889908
18.0,5,46,0.9174311926605505
20.0,1,42,0.9220183486238532
20.0,2,43,0.9231651376146789
20.0,3,44,0.9139908256880734
20.0,4,45,0.9208715596330275
20.0,5,46,0.9208715596330275
22.0,1,42,0.9208715596330275
22.0,2,43,0.9220183486238532
22.0,3,44,0.9277522935779816
22.0,4,45,0.9231651376146789
22.0,5,46,0.9231651376146789
24.0,1,42,0.9231651376146789
24.0,2,43,0.9231651376146789
24.0,3,44,0.9220183486238532
24.0,4,45,0.9254587155963303
24.0,5,46,0.9311926605504587
0,1,42,0.49655963302752293
0,2,43,0.49770642201834864
0,3,44,0.49426605504587157
0,4,45,0.5045871559633027
0,5,46,0.5126146788990825
