eps_low,eps_high,run,seed,accuracy
6,12,1,42,0.6089449541284404
4,12,1,42,0.5951834862385321
0,12,1,42,0.5940366972477065
2,12,1,42,0.5974770642201835
6,12,2,43,0.5928899082568807
4,12,2,43,0.6204128440366973
0,12,2,43,0.5963302752293578
6,12,3,44,0.5951834862385321
2,12,2,43,0.6169724770642202
4,12,3,44,0.6043577981651376
6,12,4,45,0.606651376146789
2,12,3,44,0.6112385321100917
0,12,3,44,0.6123853211009175
4,12,4,45,0.591743119266055
6,12,5,46,0.6100917431192661
2,12,4,45,0.6077981651376146
4,12,5,46,0.6123853211009175
0,12,4,45,0.6009174311926605
6,14,1,42,0.6502293577981652
2,12,5,46,0.6238532110091743
4,14,1,42,0.75
6,14,2,43,0.6341743119266054
0,12,5,46,0.6376146788990825
4,14,2,43,0.7488532110091743
2,14,1,42,0.7763761467889908
6,14,3,44,0.6330275229357798
0,14,1,42,0.7672018348623854
4,14,3,44,0.7247706422018348
2,14,2,43,0.7568807339449541
6,14,4,45,0.6307339449541285
4,14,4,45,0.7488532110091743
0,14,2,43,0.7568807339449541
2,14,3,44,0.7465596330275229
6,14,5,46,0.6077981651376146
4,14,5,46,0.7224770642201835
0,14,3,44,0.7545871559633027
6,16,1,42,0.5149082568807339
4,16,1,42,0.7041284403669725
2,14,4,45,0.7649082568807339
0,14,4,45,0.7672018348623854
4,16,2,43,0.6915137614678899
6,16,2,43,0.49770642201834864
2,14,5,46,0.7454128440366973
0,14,5,46,0.7350917431192661
6,16,3,44,0.48394495412844035
4,16,3,44,0.7110091743119266
2,16,1,42,0.8451834862385321
4,16,4,45,0.7018348623853211
6,16,4,45,0.5321100917431193
0,16,1,42,0.8669724770642202
2,16,2,43,0.8577981651376146
4,16,5,46,0.7110091743119266
6,16,5,46,0.5149082568807339
0,16,2,43,0.856651376146789
2,16,3,44,0.8360091743119266
4,18,1,42,0.5217889908256881
0,16,3,44,0.8532110091743119
6,18,1,42,0.49426605504587157
2,16,4,45,0.856651376146789
4,18,2,43,0.5011467889908257
0,16,4,45,0.8589449541284404
6,18,2,43,0.4827981651376147
2,16,5,46,0.8520642201834863
4,18,3,44,0.5355504587155964
0,16,5,46,0.8589449541284404
2,18,1,42,0.7568807339449541
6,18,3,44,0.48394495412844035
4,18,4,45,0.5263761467889908
0,18,1,42,0.8922018348623854
2,18,2,43,0.7534403669724771
6,18,4,45,0.49655963302752293
4,18,5,46,0.5206422018348624
0,18,2,43,0.8784403669724771
2,18,3,44,0.7327981651376146
6,18,5,46,0.5114678899082569
4,20,1,42,0.5045871559633027
0,18,3,44,0.8910550458715596
2,18,4,45,0.75
6,20,1,42,0.4793577981651376
4,20,2,43,0.48509174311926606
0,18,4,45,0.8876146788990825
2,18,5,46,0.7327981651376146
4,20,3,44,0.5091743119266054
6,20,2,43,0.5160550458715596
0,18,5,46,0.8876146788990825
2,20,1,42,0.47706422018348627
4,20,4,45,0.5080275229357798
0,20,1,42,0.7729357798165137
6,20,3,44,0.4896788990825688
2,20,2,43,0.5114678899082569
4,20,5,46,0.4954128440366973
0,20,2,43,0.7396788990825688
6,20,4,45,0.481651376146789
2,20,3,44,0.5091743119266054
4,22,1,42,0.5011467889908257
0,20,3,44,0.7614678899082569
2,20,4,45,0.4954128440366973
6,20,5,46,0.5091743119266054
4,22,2,43,0.4690366972477064
0,20,4,45,0.7637614678899083
2,20,5,46,0.5080275229357798
6,22,1,42,0.5034403669724771
4,22,3,44,0.5091743119266054
0,20,5,46,0.7511467889908257
2,22,1,42,0.47477064220183485
4,22,4,45,0.5080275229357798
6,22,2,43,0.48509174311926606
0,22,1,42,0.49426605504587157
2,22,2,43,0.533256880733945
4,22,5,46,0.518348623853211
6,22,3,44,0.4896788990825688
0,22,2,43,0.5103211009174312
2,22,3,44,0.518348623853211
4,24,1,42,0.5080275229357798
6,22,4,45,0.5080275229357798
0,22,3,44,0.5114678899082569
2,22,4,45,0.5080275229357798
4,24,2,43,0.48623853211009177
6,22,5,46,0.5172018348623854
0,22,4,45,0.49655963302752293
2,22,5,46,0.4598623853211009
4,24,3,44,0.5080275229357798
0,22,5,46,0.4988532110091743
6,24,1,42,0.5022935779816514
2,24,1,42,0.4793577981651376
4,24,4,45,0.5080275229357798
0,24,1,42,0.4805045871559633
6,24,2,43,0.4805045871559633
2,24,2,43,0.5378440366972477
4,24,5,46,0.5126146788990825
0,24,2,43,0.4988532110091743
2,24,3,44,0.49311926605504586
6,24,3,44,0.48623853211009177
0,24,3,44,0.49426605504587157
2,24,4,45,0.48853211009174313
6,24,4,45,0.5057339449541285
0,24,4,45,0.5011467889908257
2,24,5,46,0.5103211009174312
6,24,5,46,0.5057339449541285
0,24,5,46,0.48509174311926606
8,12,1,42,0.551605504587156
8,12,2,43,0.536697247706422
8,12,3,44,0.5458715596330275
8,12,4,45,0.5470183486238532
8,12,5,46,0.5401376146788991
8,14,1,42,0.5022935779816514
8,14,2,43,0.5022935779816514
8,14,3,44,0.5022935779816514
8,14,4,45,0.47477064220183485
8,14,5,46,0.5022935779816514
8,16,1,42,0.49655963302752293
8,16,2,43,0.5149082568807339
8,16,3,44,0.4896788990825688
8,16,4,45,0.5160550458715596
8,16,5,46,0.49311926605504586
8,18,1,42,0.5114678899082569
8,18,2,43,0.536697247706422
8,18,3,44,0.5011467889908257
8,18,4,45,0.4919724770642202
8,18,5,46,0.49655963302752293
8,20,1,42,0.5045871559633027
8,20,2,43,0.5149082568807339
8,20,3,44,0.5309633027522935
8,20,4,45,0.5011467889908257
8,20,5,46,0.4919724770642202
8,22,1,42,0.5137614678899083
8,22,2,43,0.5057339449541285
8,22,3,44,0.5160550458715596
8,22,4,45,0.49770642201834864
8,22,5,46,0.5
8,24,1,42,0.5263761467889908
8,24,2,43,0.5057339449541285
8,24,3,44,0.5160550458715596
8,24,4,45,0.49770642201834864
8,24,5,46,0.5
