epsilon,run,seed,accuracy
2.0,1,42,0.49655963302752293
2.0,2,43,0.49770642201834864
2.0,3,44,0.49426605504587157
2.0,4,45,0.5045871559633027
2.0,5,46,0.5126146788990825
4.0,1,42,0.49655963302752293
4.0,2,43,0.49770642201834864
4.0,3,44,0.49426605504587157
4.0,4,45,0.5045871559633027
4.0,5,46,0.5114678899082569
6.0,1,42,0.46788990825688076
6.0,2,43,0.4954128440366973
6.0,3,44,0.5057339449541285
6.0,4,45,0.4919724770642202
6.0,5,46,0.5137614678899083
8.0,1,42,0.5229357798165137
8.0,2,43,0.5286697247706422
8.0,3,44,0.5321100917431193
8.0,4,45,0.5286697247706422
8.0,5,46,0.5344036697247706
10.0,1,42,0.8990825688073395
10.0,2,43,0.8853211009174312
10.0,3,44,0.8887614678899083
10.0,4,45,0.8887614678899083
10.0,5,46,0.893348623853211
12.0,1,42,0.9105504587155964
12.0,2,43,0.9036697247706422
12.0,3,44,0.9094036697247706
12.0,4,45,0.9025229357798165
12.0,5,46,0.9174311926605505
14.0,1,42,0.9105504587155964
14.0,2,43,0.9013761467889908
14.0,3,44,0.9105504587155964
14.0,4,45,0.9025229357798165
14.0,5,46,0.9174311926605505
16.0,1,42,0.9105504587155964
16.0,2,43,0.9013761467889908
16.0,3,44,0.908256880733945
16.0,4,45,0.9013761467889908
16.0,5,46,0.9174311926605505
8.5,1,42,0.5722477064220184
8.5,2,43,0.6261467889908257
8.5,3,44,0.5951834862385321
8.5,4,45,0.5974770642201835
8.5,5,46,0.6146788990825688
9.0,1,42,0.7339449541284404
9.0,2,43,0.7522935779816514
9.0,3,44,0.7454128440366973
9.0,4,45,0.7740825688073395
9.0,5,46,0.7454128440366973
9.5,1,42,0.8807339449541285
9.5,2,43,0.8543577981651376
9.5,3,44,0.8486238532110092
9.5,4,45,0.8486238532110092
9.5,5,46,0.8612385321100917
18,1,42,0.9105504587155964
18,2,43,0.9013761467889908
18,3,44,0.908256880733945
18,4,45,0.9013761467889908
18,5,46,0.9174311926605505
0,1,42,0.49655963302752293
0,2,43,0.49770642201834864
0,3,44,0.49426605504587157
0,4,45,0.5045871559633027
0,5,46,0.5126146788990825
